2026-06-30 18:02:40,712 | INFO | RESULT RB02 shoeNo=1 shoeDbId=2 resultId=27 playId=28 gameNo=202606300016R2028 result=9,2,9 code=9 side=T poker=
2026-06-30 18:02:42,879 | INFO | RESULT RB03 shoeNo=1 shoeDbId=3 resultId=28 playId=28 gameNo=202606300016R3028 result=6,1,7 code=6 side=P poker=
2026-06-30 18:02:45,079 | INFO | RESULT RB05 shoeNo=1 shoeDbId=5 resultId=29 playId=44 gameNo=202606300016R5044 result=1,1,8 code=1 side=B poker=
2026-06-30 18:02:47,245 | INFO | RESULT RB06 shoeNo=1 shoeDbId=6 resultId=30 playId=12 gameNo=202606300018R6012 result=5,1,9 code=5 side=P poker=
2026-06-30 18:02:49,446 | INFO | RESULT S01 shoeNo=1 shoeDbId=8 resultId=31 playId=10 gameNo=1782813785531348 result=5,2,4 code=5 side=P poker=
2026-06-30 18:02:51,628 | INFO | RESULT S05 shoeNo=1 shoeDbId=11 resultId=32 playId=40 gameNo=1782813776720351 result=1,2,9 code=1 side=B poker=
2026-06-30 18:02:54,837 | INFO | RESULT RB04 shoeNo=1 shoeDbId=4 resultId=33 playId=31 gameNo=202606300016R4031 result=5,2,7 code=5 side=P poker=
2026-06-30 18:02:57,094 | INFO | RESULT RB07 shoeNo=1 shoeDbId=7 resultId=34 playId=57 gameNo=202606300018R7057 result=1,2,7 code=1 side=B poker=
2026-06-30 18:02:59,329 | INFO | RESULT S02 shoeNo=1 shoeDbId=9 resultId=35 playId=60 gameNo=1782813745885349 result=5,1,9 code=5 side=P poker=
2026-06-30 18:03:01,494 | INFO | RESULT S03 shoeNo=1 shoeDbId=10 resultId=36 playId=32 gameNo=1782813800743350 result=7,1,8 code=7 side=P poker=
2026-06-30 18:03:03,694 | INFO | RESULT S06 shoeNo=1 shoeDbId=12 resultId=37 playId=17 gameNo=1782813799142352 result=5,2,6 code=5 side=P poker=
2026-06-30 18:03:06,704 | INFO | 手動停止
