scope,tableName,length,pattern,sample,next_B,next_P,B_rate,P_rate,best_side,best_rate
global,ALL,7,BBBPPPB,197,125,72,63.4518,36.5482,B,63.4518
global,ALL,7,PPPPBBP,196,73,123,37.2449,62.7551,P,62.7551
global,ALL,7,PPBPPPP,193,96,97,49.7409,50.2591,P,50.2591
global,ALL,7,BPPPBBP,180,65,115,36.1111,63.8889,P,63.8889
global,ALL,7,PPPPPBP,174,62,112,35.6322,64.3678,P,64.3678
global,ALL,7,PBBPPPB,172,99,73,57.5581,42.4419,B,57.5581
global,ALL,7,PBPPBBB,169,110,59,65.0888,34.9112,B,65.0888
global,ALL,7,PBBPBBB,166,86,80,51.8072,48.1928,B,51.8072
global,ALL,7,PPBBBPB,165,94,71,56.9697,43.0303,B,56.9697
global,ALL,7,PBBBPPB,164,107,57,65.2439,34.7561,B,65.2439
global,ALL,7,PPBPPPB,164,96,68,58.5366,41.4634,B,58.5366
global,ALL,7,PBPPPPP,163,78,85,47.8528,52.1472,P,52.1472
global,ALL,7,BBPPBPP,162,68,94,41.9753,58.0247,P,58.0247
global,ALL,7,BBPBBBP,161,58,103,36.0248,63.9752,P,63.9752
global,ALL,7,BPPBBPP,159,61,98,38.3648,61.6352,P,61.6352
global,ALL,7,PBPPPBB,159,94,65,59.1195,40.8805,B,59.1195
global,ALL,7,PPBPPBB,159,105,54,66.0377,33.9623,B,66.0377
global,ALL,7,BBBPBPP,157,78,79,49.6815,50.3185,P,50.3185
global,ALL,7,BPPBPPP,157,68,89,43.3121,56.6879,P,56.6879
global,ALL,7,BBBPBBP,155,71,84,45.8065,54.1935,P,54.1935
global,ALL,7,PPPBPPB,155,88,67,56.7742,43.2258,B,56.7742
global,ALL,7,BPBBBPP,154,78,76,50.6494,49.3506,B,50.6494
global,ALL,7,BPPBBBP,152,62,90,40.7895,59.2105,P,59.2105
global,ALL,7,BPPPBPP,151,74,77,49.0066,50.9934,P,50.9934
global,ALL,7,PPBBPPB,150,92,58,61.3333,38.6667,B,61.3333
global,ALL,7,BPBBBBP,149,60,89,40.2685,59.7315,P,59.7315
global,ALL,7,PBBBPBB,149,84,65,56.3758,43.6242,B,56.3758
global,ALL,7,BPPPPBP,148,61,87,41.2162,58.7838,P,58.7838
global,ALL,7,BBPPBBP,146,62,84,42.4658,57.5342,P,57.5342
global,ALL,7,BBPPPBP,144,57,87,39.5833,60.4167,P,60.4167
global,ALL,7,PBBBBPB,143,83,60,58.042,41.958,B,58.042
global,ALL,7,PPBBPBB,143,81,62,56.6434,43.3566,B,56.6434
global,ALL,7,BBPBPPP,141,69,72,48.9362,51.0638,P,51.0638
global,ALL,7,PPBPBBB,141,82,59,58.156,41.844,B,58.156
global,ALL,7,BBBPPBP,140,53,87,37.8571,62.1429,P,62.1429
global,ALL,7,PBBPPBB,140,85,55,60.7143,39.2857,B,60.7143
global,ALL,7,BBPBBPP,137,58,79,42.3358,57.6642,P,57.6642
global,ALL,7,PBPPPPB,136,82,54,60.2941,39.7059,B,60.2941
global,ALL,7,PPPBBPB,136,85,51,62.5,37.5,B,62.5
global,ALL,7,PPPBPBB,136,80,56,58.8235,41.1765,B,58.8235
global,ALL,7,BBBBPBP,135,52,83,38.5185,61.4815,P,61.4815
global,ALL,7,BPBPPBB,135,67,68,49.6296,50.3704,P,50.3704
global,ALL,7,BPBBPPP,134,57,77,42.5373,57.4627,P,57.4627
global,ALL,7,BBPBPPB,132,81,51,61.3636,38.6364,B,61.3636
global,ALL,7,PBPBBBB,130,83,47,63.8462,36.1538,B,63.8462
global,ALL,7,BPBBPBB,126,85,41,67.4603,32.5397,B,67.4603
global,ALL,7,PBPPBBP,124,46,78,37.0968,62.9032,P,62.9032
global,ALL,7,PPPPBPB,122,69,53,56.5574,43.4426,B,56.5574
global,ALL,7,BBPBBPB,120,74,46,61.6667,38.3333,B,61.6667
global,ALL,7,PBPPBPP,118,53,65,44.9153,55.0847,P,55.0847
global,ALL,7,BPPBPPB,117,72,45,61.5385,38.4615,B,61.5385
global,ALL,7,PBBBPBP,116,43,73,37.069,62.931,P,62.931
global,ALL,7,PBBPBPP,113,51,62,45.1327,54.8673,P,54.8673
global,ALL,7,PPBPPBP,113,42,71,37.1681,62.8319,P,62.8319
global,ALL,7,BPPBPBB,107,61,46,57.0093,42.9907,B,57.0093
global,ALL,7,PBPPPBP,106,42,64,39.6226,60.3774,P,60.3774
global,ALL,7,PPBPBBP,106,51,55,48.1132,51.8868,P,51.8868
global,ALL,7,BPBPPPP,105,41,64,39.0476,60.9524,P,60.9524
global,ALL,7,PBBPPBP,105,36,69,34.2857,65.7143,P,65.7143
global,ALL,7,BPBPPPB,104,62,42,59.6154,40.3846,B,59.6154
global,ALL,7,BPPBBPB,104,57,47,54.8077,45.1923,B,54.8077
global,ALL,7,BBPBPBB,101,47,54,46.5347,53.4653,P,53.4653
global,ALL,7,BPPPBPB,101,70,31,69.3069,30.6931,B,69.3069
global,ALL,7,PBBPBBP,101,48,53,47.5248,52.4752,P,52.4752
global,ALL,7,BPBBBPB,99,53,46,53.5354,46.4646,B,53.5354
global,ALL,7,PPBBPBP,99,43,56,43.4343,56.5657,P,56.5657
global,ALL,7,BPBBPPB,97,52,45,53.6082,46.3918,B,53.6082
global,ALL,7,BBBPBPB,94,57,37,60.6383,39.3617,B,60.6383
