length,pattern,sample,next_B,next_P,next_B_rate,next_P_rate,best_side,best_rate,edge
1,B,14,9,5,64.2857,35.7143,B,64.2857,28.5714
1,P,8,2,6,25.0,75.0,P,75.0,50.0
